Column1.chance_of_playing_next_round,Column1.chance_of_playing_this_round,Column1.code,Column1.cost_change_event,Column1.cost_change_event_fall,Column1.cost_change_start,Column1.cost_change_start_fall,Column1.dreamteam_count,Column1.element_type,Column1.ep_next,Column1.ep_this,Column1.event_points,Column1.first_name,Column1.form,Column1.id,Column1.in_dreamteam,Column1.news,Column1.news_added,Column1.now_cost,Column1.photo,Column1.points_per_game,Column1.second_name,Column1.selected_by_percent,Column1.special,Column1.squad_number,Column1.status,Column1.team,Column1.team_code,Column1.total_points,Column1.transfers_in,Column1.transfers_in_event,Column1.transfers_out,Column1.transfers_out_event,Column1.value_form,Column1.value_season,Column1.web_name,Column1.minutes,Column1.goals_scored,Column1.assists,Column1.clean_sheets,Column1.goals_conceded,Column1.own_goals,Column1.penalties_saved,Column1.penalties_missed,Column1.yellow_cards,Column1.red_cards,Column1.saves,Column1.bonus,Column1.bps,Column1.influence,Column1.creativity,Column1.threat,Column1.ict_index
,,69140,0,0,-2,2,0,2,0.5,0.0,0,Shkodran,0.0,1,FALSE,,,53,69140.jpg,0.0,Mustafi,0.4,FALSE,,a,1,3,0,5158,97,25603,228,0.0,0.0,Mustafi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,100,98745,0,0,-1,1,0,2,0.5,0.0,0,Héctor,0.0,2,FALSE,,2019-06-25T11:30:06.897107Z,54,98745.jpg,0.0,Bellerín,0.2,FALSE,,a,1,3,0,7489,1616,5905,151,0.0,0.0,Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,100,111457,0,0,-1,1,0,2,1.7,1.2,0,Sead,1.2,3,FALSE,,2019-09-19T23:30:10.394662Z,54,111457.jpg,1.5,Kolasinac,0.8,FALSE,,a,1,3,6,23736,563,70226,661,0.2,1.1,Kolasinac,289,0,1,0,6,0,0,0,1,0,0,0,57,66.2,71.8,23.0,16.1
100,100,154043,0,0,1,-1,1,2,1.0,0.5,0,Ainsley,0.5,4,FALSE,,2019-09-22T18:00:10.824841Z,51,154043.jpg,2.8,Maitland-Niles,5.9,FALSE,,a,1,3,17,532444,1724,333760,8389,0.1,3.3,Maitland-Niles,490,0,2,1,10,0,0,0,0,1,0,3,92,136.4,108.2,31.0,27.1
,,39476,0,0,0,0,0,2,1.0,0.5,0,Sokratis,0.5,5,FALSE,,,50,39476.jpg,2.2,Papastathopoulos,1.8,FALSE,,a,1,3,13,66660,831,75874,1601,0.1,2.6,Sokratis,540,0,0,1,10,0,0,0,1,0,0,2,95,118.0,23.0,10.0,15.1
0,0,38411,0,0,0,0,0,2,0.0,0.0,0,Nacho,0.0,6,FALSE,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,38411.jpg,3.3,Monreal,0.4,FALSE,,u,1,3,10,27875,8,81747,581,0.0,2.0,Monreal,270,0,0,1,4,0,0,0,0,0,0,1,54,47.2,40.8,12.0,10.0
0,0,51507,0,0,0,0,0,2,0.0,0.0,0,Laurent,0.0,7,FALSE,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,51507.jpg,0.0,Koscielny,0.1,FALSE,,u,1,3,0,289,7,11673,45,0.0,0.0,Koscielny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,100,233963,0,0,-1,1,0,2,0.5,0.0,0,Konstantinos,0.0,8,FALSE,,2019-08-09T09:30:11.868345Z,44,233963.jpg,0.0,Mavropanos,0.0,FALSE,,a,1,3,0,264,26,3336,15,0.0,0.0,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,80254,0,0,0,0,0,2,0.0,0.0,0,Carl,0.0,9,FALSE,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,80254.jpg,0.0,Jenkinson,0.0,FALSE,,u,1,3,0,154,7,2105,16,0.0,0.0,Jenkinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,100,156074,0,0,0,0,0,2,0.5,0.0,0,Rob,0.0,10,FALSE,,2019-06-25T11:30:06.913215Z,45,156074.jpg,0.0,Holding,0.1,FALSE,,a,1,3,0,5801,608,4251,134,0.0,0.0,Holding,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,54694,0,0,0,0,1,4,7.3,6.8,0,Pierre-Emerick,6.8,11,FALSE,,,110,54694.jpg,7.3,Aubameyang,23.7,FALSE,,a,1,3,44,617930,25728,815790,5835,0.6,4.0,Aubameyang,540,6,1,1,10,0,0,0,2,0,0,7,182,238.2,81.1,318.0,63.6
0,0,59966,0,0,-2,2,0,4,0.0,0.0,0,Alexandre,1.2,12,FALSE,Ankle injury - Expected back 21 Oct,2019-09-01T18:30:14.246208Z,93,59966.jpg,4.7,Lacazette,1.5,FALSE,,i,1,3,14,71140,100,215059,1637,0.1,1.5,Lacazette,145,2,0,0,3,0,0,0,1,0,0,2,49,78.8,24.4,129.0,23.3
0,0,205533,0,0,-1,1,0,4,0.0,0.0,0,Edward,0.0,13,FALSE,Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T15:30:15.638344Z,44,205533.jpg,0.0,Nketiah,0.8,FALSE,,n,1,3,0,30762,267,82460,1055,0.0,0.0,Nketiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,80201,0,0,0,0,0,1,2.3,1.8,0,Bernd,1.8,14,FALSE,,,50,80201.jpg,3.0,Leno,5.9,FALSE,,a,1,3,18,215896,4113,213693,3227,0.4,3.6,Leno,540,0,0,1,10,0,0,0,2,0,29,1,117,175.8,0.0,0.0,17.5
100,100,37605,0,0,-2,2,0,3,1.0,0.5,0,Mesut,0.5,15,FALSE,,2019-08-09T17:00:13.419733Z,73,37605.jpg,2.0,Özil,0.7,FALSE,,a,1,3,2,12722,568,80342,605,0.1,0.3,Özil,70,0,0,0,1,0,0,0,0,0,0,0,15,6.4,18.8,2.0,2.7
0,0,57249,0,0,-2,2,0,3,0.0,0.0,0,Henrikh,0.2,16,FALSE,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,68,57249.jpg,1.3,Mkhitaryan,0.9,FALSE,,n,1,3,4,22480,18,106525,627,0.0,0.6,Mkhitaryan,110,0,0,1,0,0,0,0,1,0,0,0,3,5.4,33.9,46.0,8.6
100,100,84450,0,0,-2,2,0,3,1.5,1.0,0,Granit,1.0,18,FALSE,,2019-09-08T21:00:18.761460Z,53,84450.jpg,1.6,Xhaka,0.8,FALSE,,a,1,3,8,23349,565,74859,705,0.2,1.5,Xhaka,431,0,0,1,9,0,0,0,3,0,0,0,57,84.8,82.0,21.0,18.8
100,100,198849,0,0,-1,1,0,3,1.5,1.0,0,Lucas,1.0,19,FALSE,,2019-09-08T21:00:18.773636Z,49,198849.jpg,2.2,Torreira,1.5,FALSE,,a,1,3,11,45003,452,94332,1436,0.2,2.2,Torreira,139,1,0,0,3,0,0,0,0,0,0,0,46,69.4,60.6,83.0,21.3
0,0,153256,0,0,-2,2,0,3,0.0,0.0,0,Mohamed,0.0,20,FALSE,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,43,153256.jpg,0.0,Elneny,0.6,FALSE,,n,1,3,0,44541,4205,37906,1383,0.0,0.0,Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,242166,0,0,1,-1,0,3,3.5,3.0,0,Matteo,3.0,21,FALSE,,,46,242166.jpg,3.2,Guendouzi,10.2,FALSE,,a,1,3,19,566170,16442,274821,7649,0.7,4.1,Guendouzi,511,0,2,1,9,0,0,0,2,0,0,2,98,115.6,90.5,55.0,26.2
,,41270,0,0,-2,2,0,2,1.3,0.8,0,David,0.8,106,FALSE,,,58,41270.jpg,0.8,Luiz Moreira Marinho,5.4,FALSE,,a,1,3,4,49560,777,306382,3485,0.1,0.7,David Luiz,450,0,0,0,10,0,0,0,2,0,0,0,63,111.0,9.9,16.0,13.7
,,98980,0,0,-1,1,0,1,0.5,0.0,0,Emiliano,0.0,427,FALSE,,,44,98980.jpg,0.0,Martínez,0.3,FALSE,,a,1,3,0,2931,75,7660,146,0.0,0.0,Martínez,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
