Column1.chance_of_playing_next_round,Column1.chance_of_playing_this_round,Column1.code,Column1.cost_change_event,Column1.cost_change_event_fall,Column1.cost_change_start,Column1.cost_change_start_fall,Column1.dreamteam_count,Column1.element_type,Column1.ep_next,Column1.ep_this,Column1.event_points,Column1.first_name,Column1.form,Column1.id,Column1.in_dreamteam,Column1.news,Column1.news_added,Column1.now_cost,Column1.photo,Column1.points_per_game,Column1.second_name,Column1.selected_by_percent,Column1.special,Column1.squad_number,Column1.status,Column1.team,Column1.team_code,Column1.total_points,Column1.transfers_in,Column1.transfers_in_event,Column1.transfers_out,Column1.transfers_out_event,Column1.value_form,Column1.value_season,Column1.web_name,Column1.minutes,Column1.goals_scored,Column1.assists,Column1.clean_sheets,Column1.goals_conceded,Column1.own_goals,Column1.penalties_saved,Column1.penalties_missed,Column1.yellow_cards,Column1.red_cards,Column1.saves,Column1.bonus,Column1.bps,Column1.influence,Column1.creativity,Column1.threat,Column1.ict_index
0,0,57249,0,0,-2,2,0,3,0.0,0.0,0,Henrikh,0.5,16,FALSE,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,68,57249.jpg,1.3,Mkhitaryan,1.0,FALSE,,n,1,3,4,22444,25,104034,2986,0.1,0.6,Mkhitaryan,110,0,0,1,0,0,0,0,1,0,0,0,3,5.4,33.9,46.0,8.6
100,100,84450,0,0,-2,2,0,3,1.5,2.5,1,Granit,1.5,18,FALSE,,2019-09-08T21:00:18.761460Z,53,84450.jpg,1.6,Xhaka,0.8,FALSE,,a,1,3,8,21978,1241,72082,2680,0.3,1.5,Xhaka,431,0,0,1,9,0,0,0,3,0,0,0,57,84.8,82.0,21.0,18.8
100,100,198849,0,0,-1,1,0,3,2.5,3.5,1,Lucas,2.5,19,FALSE,,2019-09-08T21:00:18.773636Z,49,198849.jpg,2.2,Torreira,1.5,FALSE,,a,1,3,11,43674,1776,88915,5743,0.5,2.2,Torreira,139,1,0,0,3,0,0,0,0,0,0,0,46,69.4,60.6,83.0,21.3
0,0,153256,0,0,-1,1,0,3,0.0,0.0,0,Mohamed,0.0,20,FALSE,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,44,153256.jpg,0.0,Elneny,0.4,FALSE,,n,1,3,0,30727,418,33879,1939,0.0,0.0,Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,242166,0,0,1,-1,0,3,3.5,4.5,4,Matteo,3.5,21,FALSE,,,46,242166.jpg,3.2,Guendouzi,9.7,FALSE,,a,1,3,19,501715,47774,248025,21111,0.8,4.1,Guendouzi,511,0,2,1,9,0,0,0,2,0,0,2,98,115.6,90.5,55.0,26.2
,,41270,-1,1,-2,2,0,2,0.8,1.8,1,David,0.8,106,FALSE,,,58,41270.jpg,0.8,Luiz Moreira Marinho,5.6,FALSE,,a,1,3,4,47734,1840,288662,17061,0.1,0.7,David Luiz,450,0,0,0,10,0,0,0,2,0,0,0,63,111.0,9.9,16.0,13.7
,,98980,0,0,-1,1,0,1,0.0,1.0,0,Emiliano,0.0,427,FALSE,,,44,98980.jpg,0.0,Martínez,0.3,FALSE,,a,1,3,0,2727,274,7221,467,0.0,0.0,Martínez,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,101184,0,0,-1,1,0,2,1.8,2.8,7,Calum,1.8,467,FALSE,,,44,101184.jpg,6.5,Chambers,0.9,FALSE,,a,1,3,13,37061,4840,44848,1931,0.4,3.0,Chambers,135,1,0,1,1,0,0,0,0,0,0,0,43,59.8,11.2,31.0,10.2
,,182539,0,0,2,-2,1,3,1.5,2.5,2,Daniel,1.5,469,FALSE,,,57,182539.jpg,3.0,Ceballos Fernández,11.9,FALSE,,a,1,3,18,950866,10638,488813,80291,0.3,3.2,Ceballos,325,0,2,0,7,0,0,0,0,0,0,3,68,84.2,98.9,43.0,22.5
100,100,195735,0,0,-1,1,0,3,4.2,5.2,8,Nicolas,4.2,488,FALSE,,2019-08-09T09:30:12.533555Z,94,195735.jpg,3.2,Pépé,3.5,FALSE,,a,1,3,19,117973,7220,237112,12981,0.4,2.0,Pépé,424,1,1,0,9,0,0,0,1,0,0,2,71,110.2,150.8,198.0,46.0
,,200641,0,0,-1,1,0,3,0.2,1.2,0,Reiss,0.2,489,FALSE,,,54,200641.jpg,1.3,Nelson,0.1,FALSE,,a,1,3,4,6883,157,10184,599,0.0,0.7,Nelson,134,0,0,1,2,0,0,0,1,0,0,0,10,22.0,41.5,60.0,12.4
100,100,200089,0,0,0,0,0,3,1.0,2.0,1,Joseph,1.0,490,FALSE,,2019-09-07T11:30:17.190466Z,50,200089.jpg,1.8,Willock,0.3,FALSE,,a,1,3,9,19696,625,18484,1012,0.2,1.8,Willock,281,0,0,1,5,0,0,0,0,0,0,0,37,33.4,58.4,48.0,14.0
,,444145,0,0,0,0,0,4,0.0,1.0,0,Gabriel Teodoro,0.0,504,FALSE,,,45,444145.jpg,1.0,Martinelli Silva,1.4,FALSE,,a,1,3,1,98734,2771,90292,6096,0.0,0.2,Martinelli,6,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.5,0.0,0.2
100,25,192895,0,0,-1,1,0,2,0.0,0.2,0,Kieran,0.0,515,FALSE,,2019-08-09T12:00:11.271398Z,54,192895.jpg,0.0,Tierney,0.4,FALSE,,a,1,3,0,5737,1627,37470,687,0.0,0.0,Tierney,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,,223340,0,0,0,0,0,3,0.5,1.5,1,Bukayo,0.5,541,FALSE,,2019-09-24T21:30:13.707726Z,45,223340.jpg,1.0,Saka,0.1,FALSE,,a,1,3,1,7359,3952,1232,875,0.1,0.2,Saka,45,0,0,0,1,0,0,0,0,0,0,0,8,8.4,15.3,5.0,2.9
,,37339,0,0,-1,1,0,2,0.0,-0.5,0,Ahmed,0.5,22,FALSE,,,44,37339.jpg,1.4,El Mohamady,1.3,FALSE,,a,2,7,7,32073,673,78538,6409,0.1,1.6,El Mohamady,230,0,0,0,7,0,0,0,0,0,0,3,53,61.0,88.2,2.0,15.1
0,0,43252,0,0,-1,1,0,2,0.0,0.0,0,James,0.0,23,FALSE,Lack of match fitness - Expected back 05 Oct,2019-08-08T17:00:13.859858Z,44,43252.jpg,0.0,Chester,0.1,FALSE,,i,2,7,0,157,8,5112,183,0.0,0.0,Chester,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,47390,0,0,0,0,0,2,3.0,2.5,1,Neil,3.5,24,FALSE,,,45,47390.jpg,2.7,Taylor,0.4,FALSE,,a,2,7,16,13469,1483,9681,925,0.8,3.6,Taylor,540,0,0,2,9,0,0,0,1,0,0,0,92,89.8,26.7,26.0,14.3
100,100,123354,0,0,0,0,0,2,-0.5,-1.0,0,Kortney,0.0,25,FALSE,,2019-08-15T13:00:13.496241Z,45,123354.jpg,0.0,Hause,0.1,FALSE,,a,2,7,0,391,55,2657,133,0.0,0.0,Hause,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,54764,0,0,-1,1,0,4,0.0,0.0,0,Jonathan,0.0,26,FALSE,Head injury - Expected back 19 Oct,2019-08-15T13:00:13.507539Z,54,54764.jpg,1.0,Kodjia,0.1,FALSE,,i,2,7,1,2033,16,22883,459,0.0,0.2,Kodjia,16,0,0,0,2,0,0,0,0,0,0,0,4,0.0,0.0,2.0,0.2
100,100,98770,0,0,-1,1,0,1,-0.5,-1.0,0,Ørjan,0.0,27,FALSE,,2019-07-30T15:00:08.973693Z,44,98770.jpg,0.0,Nyland,0.2,FALSE,,a,2,7,0,1699,121,5495,273,0.0,0.0,Nyland,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
,,85242,0,0,-3,3,0,3,0.0,-0.5,1,Conor,0.5,28,FALSE,,,57,85242.jpg,1.3,Hourihane,0.1,FALSE,,a,2,7,4,1886,53,12610,356,0.1,0.7,Hourihane,105,0,0,0,2,0,0,0,0,0,0,0,23,25.2,36.9,18.0,8.0
,,114283,0,0,-1,1,0,3,2.5,2.0,6,Jack,3.0,29,FALSE,,,59,114283.jpg,3.3,Grealish,4.0,FALSE,,a,2,7,20,93272,5952,211020,10367,0.5,3.4,Grealish,540,0,2,2,9,0,0,0,2,0,0,2,108,150.2,189.4,58.0,39.8
100,100,193488,0,0,0,0,0,3,3.0,2.5,5,Anwar,3.5,30,FALSE,,2019-08-04T16:30:15.264156Z,55,193488.jpg,3.6,El Ghazi,0.4,FALSE,,a,2,7,18,23680,2059,24372,1377,0.6,3.3,El Ghazi,352,1,1,1,8,0,0,0,0,0,0,0,54,91.0,84.2,145.0,32.2
